epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.319,1.34434,1.43851,1.22725,0.43722,0.82669,0.45006,0.26443,0.71227,41.4781,0.6442,0.000555505,0.000555505,0.000555505
2,385.446,1.36336,1.46723,1.23297,0.43865,0.81476,0.44579,0.26343,0.71829,34.5178,0.64457,0.00105617,0.00105617,0.00105617
3,573.554,1.37942,1.45353,1.24174,0.4362,0.82158,0.44085,0.26119,0.71666,31.5895,0.6518,0.00150182,0.00150182,0.00150182
4,761.079,1.37588,1.43558,1.25176,0.4391,0.82784,0.44462,0.26066,0.7172,37.8605,0.64687,0.00141945,0.00141945,0.00141945
5,949.217,1.36202,1.49978,1.23547,0.4426,0.81881,0.44814,0.26331,0.71217,33.8466,0.64435,0.00133693,0.00133693,0.00133693
6,1135.28,1.36804,1.46429,1.23764,0.43861,0.82956,0.44584,0.26032,0.71873,32.0003,0.642,0.00125442,0.00125442,0.00125442
